[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=40000000 s2=6000000-12000000 hidden=256
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:216: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 83 | Steps 664000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.731  hid=0.87 (20ep) | seeker=-0.706  hid=0.85 (20ep) | barr=0.15 elev=0.25 rlock=0.05
Iter 84 | Steps 672000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.728  hid=0.86 (20ep) | seeker=-0.755  hid=0.88 (20ep) | barr=0.17 elev=0.10 rlock=0.10
Iter 85 | Steps 680000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.739  hid=0.87 (20ep) | seeker=-0.550  hid=0.77 (20ep) | barr=0.07 elev=0.16 rlock=0.12
Iter 86 | Steps 688000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.878  hid=0.94 (20ep) | seeker=-0.832  hid=0.92 (20ep) | barr=0.20 elev=0.09 rlock=0.07
Iter 87 | Steps 696000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.850  hid=0.93 (20ep) | seeker=-0.868  hid=0.93 (20ep) | barr=0.17 elev=0.14 rlock=0.12
Iter 88 | Steps 704000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.796  hid=0.90 (20ep) | seeker=-0.635  hid=0.82 (20ep) | barr=0.10 elev=0.06 rlock=0.03
Iter 89 | Steps 712000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.760  hid=0.88 (20ep) | seeker=-0.778  hid=0.89 (20ep) | barr=0.12 elev=0.11 rlock=0.00
Iter 90 | Steps 720000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.938  hid=0.97 (20ep) | seeker=-0.779  hid=0.89 (20ep) | barr=0.07 elev=0.13 rlock=0.03
Iter 91 | Steps 728000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.746  hid=0.87 (20ep) | seeker=-0.598  hid=0.80 (20ep) | barr=0.12 elev=0.13 rlock=0.07
Iter 92 | Steps 736000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.723  hid=0.86 (20ep) | seeker=-0.812  hid=0.91 (20ep) | barr=0.10 elev=0.10 rlock=0.00
Iter 93 | Steps 744000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.904  hid=0.95 (20ep) | seeker=-0.852  hid=0.93 (20ep) | barr=0.15 elev=0.11 rlock=0.05
Iter 94 | Steps 752000 | Pools h=5 s=5 | p2=0.00 | std h=0.99 s=0.99 | hider=+0.938  hid=0.97 (20ep) | seeker=-0.787  hid=0.89 (20ep) | barr=0.07 elev=0.10 rlock=0.03
Iter 95 | Steps 760000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.464  hid=0.73 (20ep) | seeker=-0.613  hid=0.81 (20ep) | barr=0.12 elev=0.20 rlock=0.10
Iter 96 | Steps 768000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.742  hid=0.87 (20ep) | seeker=-0.764  hid=0.88 (20ep) | barr=0.12 elev=0.07 rlock=0.12
Iter 97 | Steps 776000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.797  hid=0.90 (20ep) | seeker=-0.675  hid=0.84 (20ep) | barr=0.23 elev=0.18 rlock=0.07
Iter 98 | Steps 784000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.661  hid=0.83 (20ep) | seeker=-0.688  hid=0.84 (20ep) | barr=0.12 elev=0.04 rlock=0.05
Iter 99 | Steps 792000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.738  hid=0.87 (20ep) | seeker=-0.731  hid=0.87 (20ep) | barr=0.15 elev=0.19 rlock=0.00
Iter 100 | Steps 800000 | Pools h=5 s=5 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.849  hid=0.92 (20ep) | seeker=-0.860  hid=0.93 (20ep) | barr=0.15 elev=0.08 rlock=0.05
Iter 101 | Steps 808000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.707  hid=0.85 (20ep) | seeker=-0.730  hid=0.86 (20ep) | barr=0.07 elev=0.21 rlock=0.03
Iter 102 | Steps 816000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.797  hid=0.90 (20ep) | seeker=-0.938  hid=0.97 (20ep) | barr=0.20 elev=0.13 rlock=0.07
Iter 103 | Steps 824000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.846  hid=0.92 (20ep) | seeker=-0.534  hid=0.77 (20ep) | barr=0.07 elev=0.20 rlock=0.00
Iter 104 | Steps 832000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.711  hid=0.86 (20ep) | seeker=-0.840  hid=0.92 (20ep) | barr=0.20 elev=0.07 rlock=0.03
Iter 105 | Steps 840000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.694  hid=0.85 (20ep) | seeker=-0.794  hid=0.90 (20ep) | barr=0.10 elev=0.16 rlock=0.05
Iter 106 | Steps 848000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.894  hid=0.95 (20ep) | seeker=-0.802  hid=0.90 (20ep) | barr=0.25 elev=0.12 rlock=0.03
Iter 107 | Steps 856000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.940  hid=0.97 (20ep) | seeker=-0.813  hid=0.91 (20ep) | barr=0.17 elev=0.16 rlock=0.05
Iter 108 | Steps 864000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.644  hid=0.82 (20ep) | seeker=-0.942  hid=0.97 (20ep) | barr=0.12 elev=0.13 rlock=0.03
Iter 109 | Steps 872000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.796  hid=0.90 (20ep) | seeker=-0.789  hid=0.89 (20ep) | barr=0.12 elev=0.16 rlock=0.12
Iter 110 | Steps 880000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.773  hid=0.89 (20ep) | seeker=-0.788  hid=0.89 (20ep) | barr=0.23 elev=0.16 rlock=0.03
Iter 111 | Steps 888000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.692  hid=0.85 (20ep) | seeker=-0.749  hid=0.87 (20ep) | barr=0.17 elev=0.12 rlock=0.10
Iter 112 | Steps 896000 | Pools h=6 s=6 | p2=0.00 | std h=0.98 s=0.99 | hider=+0.944  hid=0.97 (20ep) | seeker=-0.893  hid=0.95 (20ep) | barr=0.07 elev=0.07 rlock=0.03
