[train_hs7] room+ramp 1v1 obs=28 steps=40000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: fresh net (hidden=256)
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 98 | Steps 200704 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.880  hid=0.94 (5ep) | barr=0.20 elev=0.03 rlock=0.10
Iter 99 | Steps 202752 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.113  hid=0.56 (5ep) | seeker=-0.326  hid=0.66 (5ep) | barr=0.20 elev=0.09 rlock=0.30
Iter 100 | Steps 204800 | Pools h=1 s=1 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.856  hid=0.93 (5ep) | seeker=-0.835  hid=0.92 (5ep) | barr=0.20 elev=0.08 rlock=0.00
Iter 101 | Steps 206848 | Pools h=2 s=2 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.867  hid=0.93 (5ep) | seeker=-0.959  hid=0.98 (5ep) | barr=0.10 elev=0.04 rlock=0.00
Iter 102 | Steps 208896 | Pools h=2 s=2 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.883  hid=0.94 (5ep) | seeker=-0.589  hid=0.79 (5ep) | barr=0.30 elev=0.02 rlock=0.10
Iter 103 | Steps 210944 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.861  hid=0.93 (5ep) | seeker=-0.941  hid=0.97 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 104 | Steps 212992 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.609  hid=0.80 (5ep) | seeker=-0.539  hid=0.77 (5ep) | barr=0.20 elev=0.10 rlock=0.20
Iter 105 | Steps 215040 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.876  hid=0.94 (5ep) | seeker=-0.378  hid=0.69 (5ep) | barr=0.10 elev=0.17 rlock=0.00
Iter 106 | Steps 217088 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.628  hid=0.81 (5ep) | seeker=-0.863  hid=0.93 (5ep) | barr=0.00 elev=0.00 rlock=0.20
Iter 107 | Steps 219136 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.641  hid=0.82 (5ep) | seeker=-0.785  hid=0.89 (5ep) | barr=0.30 elev=0.09 rlock=0.30
Iter 108 | Steps 221184 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.859  hid=0.93 (5ep) | seeker=-0.594  hid=0.80 (5ep) | barr=0.20 elev=0.03 rlock=0.00
Iter 109 | Steps 223232 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.167  hid=0.58 (5ep) | seeker=-0.802  hid=0.90 (5ep) | barr=0.20 elev=0.12 rlock=0.20
Iter 110 | Steps 225280 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.828  hid=0.91 (5ep) | seeker=-0.726  hid=0.86 (5ep) | barr=0.20 elev=0.04 rlock=0.00
Iter 111 | Steps 227328 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.97 | hider=+0.846  hid=0.92 (5ep) | seeker=-0.859  hid=0.93 (5ep) | barr=0.20 elev=0.02 rlock=0.00
Iter 112 | Steps 229376 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.543  hid=0.77 (5ep) | seeker=-0.907  hid=0.95 (5ep) | barr=0.00 elev=0.01 rlock=0.10
Iter 113 | Steps 231424 | Pools h=2 s=2 | pR=1.00 | std h=0.95 s=0.96 | hider=+0.431  hid=0.72 (5ep) | seeker=-0.909  hid=0.95 (5ep) | barr=0.20 elev=0.07 rlock=0.00
Iter 114 | Steps 233472 | Pools h=2 s=2 | pR=1.00 | std h=0.96 s=0.97 | hider=+0.928  hid=0.96 (5ep) | seeker=-0.772  hid=0.89 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 115 | Steps 235520 | Pools h=2 s=2 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.800  hid=0.90 (5ep) | seeker=-0.980  hid=0.99 (5ep) | barr=0.10 elev=0.03 rlock=0.10
Iter 116 | Steps 237568 | Pools h=2 s=2 | pR=1.00 | std h=0.96 s=0.96 | hider=+0.574  hid=0.79 (5ep) | seeker=-0.961  hid=0.98 (5ep) | barr=0.00 elev=0.01 rlock=0.10
