[train_hs2] 2v2 layout=open boxes=6 obs=55 steps=10000000 saving to hs_2v2_*.pt
Iter 141 | Steps 288768 | Pools h=8 s=8 | hider=-0.729  hid=0.14 (8ep) | seeker=+0.811  hid=0.09 (8ep)
Iter 142 | Steps 290816 | Pools h=8 s=8 | hider=-0.795  hid=0.10 (8ep) | seeker=+0.731  hid=0.13 (8ep)
Iter 143 | Steps 292864 | Pools h=8 s=8 | hider=-0.780  hid=0.11 (8ep) | seeker=+0.773  hid=0.11 (8ep)
Iter 144 | Steps 294912 | Pools h=8 s=8 | hider=-0.863  hid=0.07 (8ep) | seeker=+0.854  hid=0.07 (8ep)
Iter 145 | Steps 296960 | Pools h=8 s=8 | hider=-0.984  hid=0.01 (8ep) | seeker=+0.851  hid=0.07 (8ep)
Iter 146 | Steps 299008 | Pools h=8 s=8 | hider=-0.786  hid=0.11 (8ep) | seeker=+0.885  hid=0.06 (8ep)
Iter 147 | Steps 301056 | Pools h=8 s=8 | hider=-0.891  hid=0.05 (8ep) | seeker=+0.866  hid=0.07 (8ep)
Iter 148 | Steps 303104 | Pools h=8 s=8 | hider=-0.806  hid=0.10 (8ep) | seeker=+0.790  hid=0.11 (8ep)
Iter 149 | Steps 305152 | Pools h=8 s=8 | hider=-0.868  hid=0.07 (8ep) | seeker=+0.786  hid=0.11 (8ep)
Iter 150 | Steps 307200 | Pools h=8 s=8 | hider=-0.849  hid=0.08 (8ep) | seeker=+0.866  hid=0.07 (8ep)
Iter 151 | Steps 309248 | Pools h=8 s=8 | hider=-0.962  hid=0.02 (8ep) | seeker=+0.741  hid=0.13 (8ep)
Iter 152 | Steps 311296 | Pools h=8 s=8 | hider=-0.950  hid=0.03 (8ep) | seeker=+0.793  hid=0.10 (8ep)
Iter 153 | Steps 313344 | Pools h=8 s=8 | hider=-0.687  hid=0.16 (8ep) | seeker=+0.594  hid=0.20 (8ep)
Iter 154 | Steps 315392 | Pools h=8 s=8 | hider=-0.715  hid=0.14 (8ep) | seeker=+0.905  hid=0.05 (8ep)
Iter 155 | Steps 317440 | Pools h=8 s=8 | hider=-0.826  hid=0.09 (8ep) | seeker=+0.925  hid=0.04 (8ep)
Iter 156 | Steps 319488 | Pools h=8 s=8 | hider=-0.957  hid=0.02 (8ep) | seeker=+0.896  hid=0.05 (8ep)
Iter 157 | Steps 321536 | Pools h=8 s=8 | hider=-0.517  hid=0.24 (8ep) | seeker=+0.965  hid=0.02 (8ep)
Iter 158 | Steps 323584 | Pools h=8 s=8 | hider=-0.811  hid=0.09 (8ep) | seeker=+0.632  hid=0.18 (8ep)
Iter 159 | Steps 325632 | Pools h=8 s=8 | hider=-0.943  hid=0.03 (8ep) | seeker=+0.920  hid=0.04 (8ep)
Iter 160 | Steps 327680 | Pools h=8 s=8 | hider=-0.672  hid=0.16 (8ep) | seeker=+0.821  hid=0.09 (8ep)
Iter 161 | Steps 329728 | Pools h=8 s=8 | hider=-0.736  hid=0.13 (8ep) | seeker=+0.727  hid=0.14 (8ep)
Iter 162 | Steps 331776 | Pools h=8 s=8 | hider=-0.802  hid=0.10 (8ep) | seeker=+0.943  hid=0.03 (8ep)
Iter 163 | Steps 333824 | Pools h=8 s=8 | hider=-0.778  hid=0.11 (8ep) | seeker=+0.587  hid=0.21 (8ep)
Iter 164 | Steps 335872 | Pools h=8 s=8 | hider=-0.844  hid=0.08 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 165 | Steps 337920 | Pools h=8 s=8 | hider=-0.931  hid=0.03 (8ep) | seeker=+0.892  hid=0.05 (8ep)
Iter 166 | Steps 339968 | Pools h=8 s=8 | hider=-0.927  hid=0.04 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 167 | Steps 342016 | Pools h=8 s=8 | hider=-0.887  hid=0.06 (8ep) | seeker=+0.964  hid=0.02 (8ep)
Iter 168 | Steps 344064 | Pools h=8 s=8 | hider=-0.849  hid=0.08 (8ep) | seeker=+0.870  hid=0.07 (8ep)
Iter 169 | Steps 346112 | Pools h=8 s=8 | hider=-0.950  hid=0.03 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 170 | Steps 348160 | Pools h=8 s=8 | hider=-0.727  hid=0.14 (8ep) | seeker=+0.635  hid=0.18 (8ep)
Iter 171 | Steps 350208 | Pools h=8 s=8 | hider=-0.554  hid=0.22 (8ep) | seeker=+0.821  hid=0.09 (8ep)
Iter 172 | Steps 352256 | Pools h=8 s=8 | hider=-0.753  hid=0.12 (8ep) | seeker=+0.377  hid=0.31 (8ep)
Iter 173 | Steps 354304 | Pools h=8 s=8 | hider=-0.710  hid=0.14 (8ep) | seeker=+0.701  hid=0.15 (8ep)
Iter 174 | Steps 356352 | Pools h=8 s=8 | hider=-0.665  hid=0.17 (8ep) | seeker=+0.905  hid=0.05 (8ep)
Iter 175 | Steps 358400 | Pools h=8 s=8 | hider=-0.594  hid=0.20 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 176 | Steps 360448 | Pools h=8 s=8 | hider=-0.880  hid=0.06 (8ep) | seeker=+0.738  hid=0.13 (8ep)
Iter 177 | Steps 362496 | Pools h=8 s=8 | hider=-0.771  hid=0.11 (8ep) | seeker=+0.878  hid=0.06 (8ep)
Iter 178 | Steps 364544 | Pools h=8 s=8 | hider=-0.799  hid=0.10 (8ep) | seeker=+0.830  hid=0.09 (8ep)
Iter 179 | Steps 366592 | Pools h=8 s=8 | hider=-0.839  hid=0.08 (8ep) | seeker=+0.554  hid=0.22 (8ep)
Iter 180 | Steps 368640 | Pools h=8 s=8 | hider=-0.922  hid=0.04 (8ep) | seeker=+0.901  hid=0.05 (8ep)
Iter 181 | Steps 370688 | Pools h=8 s=8 | hider=-0.727  hid=0.14 (8ep) | seeker=+0.941  hid=0.03 (8ep)
Iter 182 | Steps 372736 | Pools h=8 s=8 | hider=-0.937  hid=0.03 (8ep) | seeker=+0.932  hid=0.03 (8ep)
Iter 183 | Steps 374784 | Pools h=8 s=8 | hider=-0.880  hid=0.06 (8ep) | seeker=+0.981  hid=0.01 (8ep)
Iter 184 | Steps 376832 | Pools h=8 s=8 | hider=-0.901  hid=0.05 (8ep) | seeker=+0.887  hid=0.06 (8ep)
Iter 185 | Steps 378880 | Pools h=8 s=8 | hider=-0.773  hid=0.11 (8ep) | seeker=+0.885  hid=0.06 (8ep)
Iter 186 | Steps 380928 | Pools h=8 s=8 | hider=-0.752  hid=0.12 (8ep) | seeker=+0.839  hid=0.08 (8ep)
Iter 187 | Steps 382976 | Pools h=8 s=8 | hider=-0.804  hid=0.10 (8ep) | seeker=+0.517  hid=0.24 (8ep)
Iter 188 | Steps 385024 | Pools h=8 s=8 | hider=-0.918  hid=0.04 (8ep) | seeker=+0.731  hid=0.13 (8ep)
Iter 189 | Steps 387072 | Pools h=8 s=8 | hider=-0.767  hid=0.12 (8ep) | seeker=+0.950  hid=0.03 (8ep)
Iter 190 | Steps 389120 | Pools h=8 s=8 | hider=-0.837  hid=0.08 (8ep) | seeker=+0.757  hid=0.12 (8ep)
Iter 191 | Steps 391168 | Pools h=8 s=8 | hider=-0.911  hid=0.04 (8ep) | seeker=+0.835  hid=0.08 (8ep)
