[train_hs7] room+ramp 1v1 obs=28 steps=12000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] hider: fresh net (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=128)
[train_hs7] best-response mode: training hider only, opponent fixed
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 131 | Steps 268288 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.926  hid=0.96 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 132 | Steps 270336 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.828  hid=0.91 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 133 | Steps 272384 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.941  hid=0.97 (5ep) | barr=0.40 elev=0.01 rlock=0.00
Iter 134 | Steps 274432 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.963  hid=0.98 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 135 | Steps 276480 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.863  hid=0.93 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 136 | Steps 278528 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.870  hid=0.94 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 137 | Steps 280576 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.487  hid=0.74 (5ep) | barr=0.00 elev=0.00 rlock=0.40
Iter 138 | Steps 282624 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.565  hid=0.78 (5ep) | barr=0.20 elev=0.00 rlock=0.00
Iter 139 | Steps 284672 | Pools h=2 s=2 | pR=1.00 | std h=0.97 s=0.73 | hider=+0.509  hid=0.75 (5ep) | barr=0.20 elev=0.01 rlock=0.00
Iter 140 | Steps 286720 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.600  hid=0.80 (5ep) | barr=0.00 elev=0.00 rlock=0.40
Iter 141 | Steps 288768 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.535  hid=0.77 (5ep) | barr=0.00 elev=0.03 rlock=0.20
Iter 142 | Steps 290816 | Pools h=2 s=2 | pR=1.00 | std h=0.98 s=0.73 | hider=+0.752  hid=0.88 (5ep) | barr=0.40 elev=0.00 rlock=0.40
