Iter 221 | Steps 452608 | Pools h=4 s=4 | hider=+2.149  (9ep) | seeker=-2.400  (8ep)
Iter 222 | Steps 454656 | Pools h=4 s=4 | hider=+2.088  (9ep) | seeker=-2.400  (8ep)
Iter 223 | Steps 456704 | Pools h=4 s=4 | hider=+2.145  (8ep) | seeker=-2.400  (8ep)
Iter 224 | Steps 458752 | Pools h=4 s=4 | hider=+2.124  (9ep) | seeker=-2.159  (8ep)
Iter 225 | Steps 460800 | Pools h=4 s=4 | hider=+1.817  (9ep) | seeker=-2.042  (9ep)
Iter 226 | Steps 462848 | Pools h=4 s=4 | hider=+1.984  (9ep) | seeker=-2.400  (8ep)
Iter 227 | Steps 464896 | Pools h=4 s=4 | hider=+1.951  (9ep) | seeker=-2.102  (9ep)
Iter 228 | Steps 466944 | Pools h=4 s=4 | hider=+2.179  (8ep) | seeker=-2.077  (9ep)
Iter 229 | Steps 468992 | Pools h=4 s=4 | hider=+2.045  (8ep) | seeker=-2.184  (8ep)
Iter 230 | Steps 471040 | Pools h=4 s=4 | hider=+2.239  (8ep) | seeker=-2.132  (9ep)
Iter 231 | Steps 473088 | Pools h=4 s=4 | hider=+1.904  (9ep) | seeker=-2.400  (8ep)
Iter 232 | Steps 475136 | Pools h=4 s=4 | hider=+2.039  (8ep) | seeker=-2.254  (8ep)
Iter 233 | Steps 477184 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.162  (9ep)
Iter 234 | Steps 479232 | Pools h=4 s=4 | hider=+2.194  (8ep) | seeker=-1.978  (9ep)
Iter 235 | Steps 481280 | Pools h=4 s=4 | hider=+1.720  (10ep) | seeker=-2.185  (8ep)
Iter 236 | Steps 483328 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.234  (8ep)
Iter 237 | Steps 485376 | Pools h=4 s=4 | hider=+2.156  (8ep) | seeker=-2.400  (8ep)
Iter 238 | Steps 487424 | Pools h=4 s=4 | hider=+1.849  (9ep) | seeker=-1.960  (9ep)
Iter 239 | Steps 489472 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.111  (9ep)
Iter 240 | Steps 491520 | Pools h=4 s=4 | hider=+2.211  (8ep) | seeker=-1.871  (9ep)
Iter 241 | Steps 493568 | Pools h=4 s=4 | hider=+1.892  (9ep) | seeker=-1.710  (10ep)
Iter 242 | Steps 495616 | Pools h=4 s=4 | hider=+2.171  (8ep) | seeker=-1.837  (10ep)
