[train_hs7] room+ramp 1v1 obs=28 steps=16000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] warm-started both nets from hs_ramp_*.pt
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 80 | Steps 163840 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.880  hid=0.94 (5ep) | seeker=-0.643  hid=0.82 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 81 | Steps 165888 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.894  hid=0.95 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 82 | Steps 167936 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.887  hid=0.94 (5ep) | seeker=-0.898  hid=0.95 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 83 | Steps 169984 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.954  hid=0.98 (5ep) | seeker=-0.783  hid=0.89 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 84 | Steps 172032 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.981  hid=0.99 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 85 | Steps 174080 | Pools h=7 s=7 | pR=1.00 | std h=2.65 s=0.27 | hider=+0.987  hid=0.99 (5ep) | seeker=-0.793  hid=0.90 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 86 | Steps 176128 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.824  hid=0.91 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 87 | Steps 178176 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.785  hid=0.89 (5ep) | seeker=-0.820  hid=0.91 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 88 | Steps 180224 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.819  hid=0.91 (5ep) | seeker=-0.930  hid=0.96 (5ep) | barr=0.00 elev=0.05 rlock=0.00
Iter 89 | Steps 182272 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.931  hid=0.97 (5ep) | seeker=-0.619  hid=0.81 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 90 | Steps 184320 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.759  hid=0.88 (5ep) | barr=0.00 elev=0.13 rlock=0.00
Iter 91 | Steps 186368 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.967  hid=0.98 (5ep) | seeker=-0.819  hid=0.91 (5ep) | barr=0.00 elev=0.08 rlock=0.00
Iter 92 | Steps 188416 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.876  hid=0.94 (5ep) | seeker=-0.813  hid=0.91 (5ep) | barr=0.00 elev=0.16 rlock=0.00
Iter 93 | Steps 190464 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.885  hid=0.94 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 94 | Steps 192512 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.952  hid=0.98 (5ep) | seeker=-0.893  hid=0.95 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 95 | Steps 194560 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.974  hid=0.99 (5ep) | seeker=-0.791  hid=0.90 (5ep) | barr=0.00 elev=0.13 rlock=0.00
Iter 96 | Steps 196608 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.863  hid=0.93 (5ep) | seeker=-0.920  hid=0.96 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 97 | Steps 198656 | Pools h=7 s=7 | pR=1.00 | std h=2.65 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.567  hid=0.78 (5ep) | barr=0.00 elev=0.18 rlock=0.00
Iter 98 | Steps 200704 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.965  hid=0.98 (5ep) | seeker=-0.581  hid=0.79 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 99 | Steps 202752 | Pools h=7 s=7 | pR=1.00 | std h=2.65 s=0.27 | hider=+0.889  hid=0.94 (5ep) | seeker=-0.696  hid=0.85 (5ep) | barr=0.00 elev=0.12 rlock=0.00
Iter 100 | Steps 204800 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.993  hid=1.00 (5ep) | seeker=-0.987  hid=0.99 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 101 | Steps 206848 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+1.000  hid=1.00 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 102 | Steps 208896 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.965  hid=0.98 (5ep) | seeker=-0.985  hid=0.99 (5ep) | barr=0.00 elev=0.03 rlock=0.00
Iter 103 | Steps 210944 | Pools h=7 s=7 | pR=1.00 | std h=2.66 s=0.27 | hider=+0.896  hid=0.95 (5ep) | seeker=-0.819  hid=0.91 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 104 | Steps 212992 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.987  hid=0.99 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.20 rlock=0.00
Iter 105 | Steps 215040 | Pools h=7 s=7 | pR=1.00 | std h=2.67 s=0.27 | hider=+0.883  hid=0.94 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.14 rlock=0.00
Iter 106 | Steps 217088 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.989  hid=0.99 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 107 | Steps 219136 | Pools h=7 s=7 | pR=1.00 | std h=2.68 s=0.27 | hider=+0.989  hid=0.99 (5ep) | seeker=-0.865  hid=0.93 (5ep) | barr=0.00 elev=0.03 rlock=0.00
