[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 87 | Steps 696000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.482  hid=0.74 (20ep) | seeker=-0.545  hid=0.77 (20ep) | barr=0.72 elev=0.24 rlock=0.07
Iter 88 | Steps 704000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.471  hid=0.74 (20ep) | seeker=-0.497  hid=0.75 (20ep) | barr=0.70 elev=0.28 rlock=0.03
Iter 89 | Steps 712000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.644  hid=0.82 (20ep) | seeker=-0.505  hid=0.75 (20ep) | barr=0.78 elev=0.22 rlock=0.03
Iter 90 | Steps 720000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.553  hid=0.78 (20ep) | seeker=-0.352  hid=0.68 (20ep) | barr=0.88 elev=0.28 rlock=0.00
Iter 91 | Steps 728000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.432  hid=0.72 (20ep) | seeker=-0.294  hid=0.65 (20ep) | barr=0.65 elev=0.34 rlock=0.00
Iter 92 | Steps 736000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.476  hid=0.74 (20ep) | seeker=-0.464  hid=0.73 (20ep) | barr=0.85 elev=0.34 rlock=0.05
Iter 93 | Steps 744000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.604  hid=0.80 (20ep) | seeker=-0.606  hid=0.80 (20ep) | barr=0.80 elev=0.19 rlock=0.05
Iter 94 | Steps 752000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.555  hid=0.78 (20ep) | seeker=-0.505  hid=0.75 (20ep) | barr=0.82 elev=0.26 rlock=0.05
Iter 95 | Steps 760000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.634  hid=0.82 (20ep) | seeker=-0.276  hid=0.64 (20ep) | barr=0.72 elev=0.28 rlock=0.05
Iter 96 | Steps 768000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.659  hid=0.83 (20ep) | seeker=-0.469  hid=0.73 (20ep) | barr=0.65 elev=0.27 rlock=0.00
Iter 97 | Steps 776000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.476  hid=0.74 (20ep) | seeker=-0.485  hid=0.74 (20ep) | barr=0.78 elev=0.28 rlock=0.07
Iter 98 | Steps 784000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.530  hid=0.77 (20ep) | seeker=-0.647  hid=0.82 (20ep) | barr=0.70 elev=0.23 rlock=0.03
Iter 99 | Steps 792000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.414  hid=0.71 (20ep) | seeker=-0.545  hid=0.77 (20ep) | barr=0.78 elev=0.32 rlock=0.03
Iter 100 | Steps 800000 | Pools h=5 s=5 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.431  hid=0.72 (20ep) | seeker=-0.442  hid=0.72 (20ep) | barr=0.75 elev=0.28 rlock=0.03
