[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=100000000 s2=0-0 hidden=256
[vec] warm-started both teams from hs_lstm20m_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 94 | Steps 752000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.625  hid=0.81 (20ep) | seeker=-0.511  hid=0.76 (20ep) | barr=0.15 elev=0.24 rlock=0.00
Iter 95 | Steps 760000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.347  hid=0.67 (20ep) | seeker=-0.346  hid=0.67 (20ep) | barr=0.10 elev=0.24 rlock=0.03
Iter 96 | Steps 768000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.412  hid=0.71 (20ep) | seeker=-0.698  hid=0.85 (20ep) | barr=0.25 elev=0.18 rlock=0.05
Iter 97 | Steps 776000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.430  hid=0.71 (20ep) | seeker=-0.414  hid=0.71 (20ep) | barr=0.17 elev=0.27 rlock=0.15
Iter 98 | Steps 784000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.414  hid=0.71 (20ep) | seeker=-0.513  hid=0.76 (20ep) | barr=0.10 elev=0.24 rlock=0.05
Iter 99 | Steps 792000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.584  hid=0.79 (20ep) | seeker=-0.542  hid=0.77 (20ep) | barr=0.12 elev=0.22 rlock=0.05
Iter 100 | Steps 800000 | Pools h=5 s=5 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.367  hid=0.68 (20ep) | seeker=-0.725  hid=0.86 (20ep) | barr=0.25 elev=0.21 rlock=0.05
Iter 101 | Steps 808000 | Pools h=6 s=6 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.564  hid=0.78 (20ep) | seeker=-0.356  hid=0.68 (20ep) | barr=0.25 elev=0.21 rlock=0.03
Iter 102 | Steps 816000 | Pools h=6 s=6 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.682  hid=0.84 (20ep) | seeker=-0.344  hid=0.67 (20ep) | barr=0.25 elev=0.23 rlock=0.00
Iter 103 | Steps 824000 | Pools h=6 s=6 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.471  hid=0.74 (20ep) | seeker=-0.482  hid=0.74 (20ep) | barr=0.25 elev=0.23 rlock=0.10
