[train_hs7] room+ramp 1v1 obs=28 steps=30000000 ramp=10000000-14000000 saving to hs_ramp_*.pt
Iter 106 | Steps 217088 | Pools h=6 s=6 | pR=0.00 | hider=+0.259  hid=0.63 (5ep) | seeker=-0.839  hid=0.92 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 107 | Steps 219136 | Pools h=6 s=6 | pR=0.00 | hider=+0.902  hid=0.95 (5ep) | seeker=-0.609  hid=0.80 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 108 | Steps 221184 | Pools h=6 s=6 | pR=0.00 | hider=+0.859  hid=0.93 (5ep) | seeker=-0.981  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 109 | Steps 223232 | Pools h=6 s=6 | pR=0.00 | hider=+0.548  hid=0.77 (5ep) | seeker=-0.891  hid=0.95 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 110 | Steps 225280 | Pools h=6 s=6 | pR=0.00 | hider=+0.970  hid=0.99 (5ep) | seeker=-0.987  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 111 | Steps 227328 | Pools h=6 s=6 | pR=0.00 | hider=+0.902  hid=0.95 (5ep) | seeker=-0.937  hid=0.97 (5ep) | barr=0.20 elev=nan rlock=nan
Iter 112 | Steps 229376 | Pools h=6 s=6 | pR=0.00 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.576  hid=0.79 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 113 | Steps 231424 | Pools h=6 s=6 | pR=0.00 | hider=+0.857  hid=0.93 (5ep) | seeker=-0.663  hid=0.83 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 114 | Steps 233472 | Pools h=6 s=6 | pR=0.00 | hider=+0.843  hid=0.92 (5ep) | seeker=-0.807  hid=0.90 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 115 | Steps 235520 | Pools h=6 s=6 | pR=0.00 | hider=+0.594  hid=0.80 (5ep) | seeker=-0.928  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 116 | Steps 237568 | Pools h=6 s=6 | pR=0.00 | hider=+0.972  hid=0.99 (5ep) | seeker=-0.698  hid=0.85 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 117 | Steps 239616 | Pools h=6 s=6 | pR=0.00 | hider=+0.770  hid=0.89 (5ep) | seeker=-0.917  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 118 | Steps 241664 | Pools h=6 s=6 | pR=0.00 | hider=+0.963  hid=0.98 (5ep) | seeker=-0.713  hid=0.86 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 119 | Steps 243712 | Pools h=6 s=6 | pR=0.00 | hider=+0.891  hid=0.95 (5ep) | seeker=-0.909  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 120 | Steps 245760 | Pools h=6 s=6 | pR=0.00 | hider=+0.963  hid=0.98 (5ep) | seeker=-0.965  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 121 | Steps 247808 | Pools h=6 s=6 | pR=0.00 | hider=+0.820  hid=0.91 (5ep) | seeker=-0.926  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 122 | Steps 249856 | Pools h=6 s=6 | pR=0.00 | hider=+0.943  hid=0.97 (5ep) | seeker=-0.530  hid=0.76 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 123 | Steps 251904 | Pools h=6 s=6 | pR=0.00 | hider=+0.906  hid=0.95 (5ep) | seeker=-0.794  hid=0.90 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 124 | Steps 253952 | Pools h=6 s=6 | pR=0.00 | hider=+0.748  hid=0.87 (5ep) | seeker=-0.600  hid=0.80 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 125 | Steps 256000 | Pools h=6 s=6 | pR=0.00 | hider=+0.211  hid=0.61 (5ep) | seeker=-0.954  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 126 | Steps 258048 | Pools h=6 s=6 | pR=0.00 | hider=+0.878  hid=0.94 (5ep) | seeker=-0.830  hid=0.91 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 127 | Steps 260096 | Pools h=6 s=6 | pR=0.00 | hider=+0.657  hid=0.83 (5ep) | seeker=-0.546  hid=0.77 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 128 | Steps 262144 | Pools h=6 s=6 | pR=0.00 | hider=+0.848  hid=0.92 (5ep) | seeker=-0.619  hid=0.81 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 129 | Steps 264192 | Pools h=6 s=6 | pR=0.00 | hider=+0.600  hid=0.80 (5ep) | seeker=-0.926  hid=0.96 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 130 | Steps 266240 | Pools h=6 s=6 | pR=0.00 | hider=+0.861  hid=0.93 (5ep) | seeker=-0.863  hid=0.93 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 131 | Steps 268288 | Pools h=6 s=6 | pR=0.00 | hider=+0.920  hid=0.96 (5ep) | seeker=-0.944  hid=0.97 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 132 | Steps 270336 | Pools h=6 s=6 | pR=0.00 | hider=+0.844  hid=0.92 (5ep) | seeker=-0.613  hid=0.81 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 133 | Steps 272384 | Pools h=6 s=6 | pR=0.00 | hider=+0.887  hid=0.94 (5ep) | seeker=-0.904  hid=0.95 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 134 | Steps 274432 | Pools h=6 s=6 | pR=0.00 | hider=+0.989  hid=0.99 (5ep) | seeker=-0.959  hid=0.98 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 135 | Steps 276480 | Pools h=6 s=6 | pR=0.00 | hider=+0.785  hid=0.89 (5ep) | seeker=-0.780  hid=0.89 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 136 | Steps 278528 | Pools h=6 s=6 | pR=0.00 | hider=+0.719  hid=0.86 (5ep) | seeker=-0.883  hid=0.94 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 137 | Steps 280576 | Pools h=6 s=6 | pR=0.00 | hider=+0.865  hid=0.93 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.10 elev=nan rlock=nan
Iter 138 | Steps 282624 | Pools h=6 s=6 | pR=0.00 | hider=+0.569  hid=0.78 (5ep) | seeker=-0.633  hid=0.82 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 139 | Steps 284672 | Pools h=6 s=6 | pR=0.00 | hider=+0.807  hid=0.90 (5ep) | seeker=-0.750  hid=0.88 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 140 | Steps 286720 | Pools h=6 s=6 | pR=0.00 | hider=+0.976  hid=0.99 (5ep) | seeker=-0.735  hid=0.87 (5ep) | barr=0.00 elev=nan rlock=nan
Iter 141 | Steps 288768 | Pools h=6 s=6 | pR=0.00 | hider=+0.972  hid=0.99 (5ep) | seeker=-0.974  hid=0.99 (5ep) | barr=0.00 elev=nan rlock=nan
