[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 101 | Steps 808000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.463  hid=0.73 (20ep) | seeker=-0.539  hid=0.77 (20ep) | barr=0.68 elev=0.24 rlock=0.07
Iter 102 | Steps 816000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.320  hid=0.66 (20ep) | seeker=-0.594  hid=0.80 (20ep) | barr=0.65 elev=0.32 rlock=0.10
Iter 103 | Steps 824000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.90 s=0.60 | hider=+0.386  hid=0.69 (20ep) | seeker=-0.321  hid=0.66 (20ep) | barr=0.85 elev=0.32 rlock=0.10
Iter 104 | Steps 832000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.90 s=0.60 | hider=+0.583  hid=0.79 (20ep) | seeker=-0.676  hid=0.84 (20ep) | barr=0.82 elev=0.20 rlock=0.03
Iter 105 | Steps 840000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.90 s=0.60 | hider=+0.603  hid=0.80 (20ep) | seeker=-0.426  hid=0.71 (20ep) | barr=0.85 elev=0.25 rlock=0.05
Iter 106 | Steps 848000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.90 s=0.60 | hider=+0.520  hid=0.76 (20ep) | seeker=-0.374  hid=0.69 (20ep) | barr=0.85 elev=0.28 rlock=0.05
Iter 107 | Steps 856000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.674  hid=0.84 (20ep) | seeker=-0.356  hid=0.68 (20ep) | barr=0.85 elev=0.28 rlock=0.00
Iter 108 | Steps 864000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.519  hid=0.76 (20ep) | seeker=-0.613  hid=0.81 (20ep) | barr=0.68 elev=0.23 rlock=0.00
Iter 109 | Steps 872000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.60 | hider=+0.560  hid=0.78 (20ep) | seeker=-0.356  hid=0.68 (20ep) | barr=0.80 elev=0.27 rlock=0.03
Iter 110 | Steps 880000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.60 | hider=+0.387  hid=0.69 (20ep) | seeker=-0.435  hid=0.72 (20ep) | barr=0.75 elev=0.32 rlock=0.03
Iter 111 | Steps 888000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.60 | hider=+0.542  hid=0.77 (20ep) | seeker=-0.515  hid=0.76 (20ep) | barr=0.72 elev=0.28 rlock=0.03
Iter 112 | Steps 896000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.60 | hider=+0.519  hid=0.76 (20ep) | seeker=-0.589  hid=0.79 (20ep) | barr=0.75 elev=0.25 rlock=0.15
Iter 113 | Steps 904000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.60 | hider=+0.310  hid=0.66 (20ep) | seeker=-0.431  hid=0.72 (20ep) | barr=0.82 elev=0.30 rlock=0.03
